path,kind,owner,status,purpose,allowed_workflows,allowed_stage_patterns
scripts/build_tdcc_pre_move_accumulation.py,python,tdcc_weekly,active,TDCC weekly/holder-flow script: build_tdcc_pre_move_accumulation,.github/workflows/tdcc_history_backfill.yml;.github/workflows/tdcc_weekly.yml;.github/workflows/test_tdcc_trend.yml;.github/workflows/repair_tdcc_monthly_history_gaps.yml,
scripts/build_tdcc_signal_effectiveness_report.py,python,tdcc_weekly,active,TDCC signal effectiveness report builder for TDCC history outputs,.github/workflows/research_backtest_pipeline.yml;.github/workflows/tdcc_history_backfill.yml;.github/workflows/tdcc_weekly.yml;.github/workflows/repair_tdcc_monthly_history_gaps.yml,
scripts/build_tdcc_signal_structures.py,python,tdcc_weekly,active,TDCC normalized signal structure builder used by TDCC weekly and TDCC research workflows,.github/workflows/research_backtest_pipeline.yml;.github/workflows/tdcc_history_backfill.yml;.github/workflows/tdcc_weekly.yml;.github/workflows/test_tdcc_trend.yml;.github/workflows/repair_tdcc_monthly_history_gaps.yml,
scripts/build_tdcc_stock_history.py,python,tdcc_weekly,active,TDCC weekly/holder-flow script: build_tdcc_stock_history,.github/workflows/tdcc_history_backfill.yml;.github/workflows/tdcc_weekly.yml;.github/workflows/test_tdcc_trend.yml;.github/workflows/repair_tdcc_monthly_history_gaps.yml,
scripts/build_tdcc_weekly_candidate_reports.py,python,tdcc_weekly,active,TDCC weekly/holder-flow script: build_tdcc_weekly_candidate_reports,.github/workflows/tdcc_history_backfill.yml;.github/workflows/tdcc_weekly.yml;.github/workflows/test_tdcc_trend.yml,
scripts/build_tdcc_weekly_ranking_backtest.py,python,research_backtest,active,research/backtest script: build_tdcc_weekly_ranking_backtest,.github/workflows/research_backtest_pipeline.yml;.github/workflows/signal_performance_tracker.yml,
scripts/run_tdcc_weekly_report_entrypoint.py,python,tdcc_weekly,active,official TDCC weekly PDF report entrypoint with isolated origin/main source and explicit delivery root,,
scripts/tdcc_weekly_pdf_font_contract.py,python,tdcc_weekly,active,TDCC weekly PDF font contract helper,.github/workflows/tdcc_weekly.yml,
scripts/build_theme_event_watch.py,python,catalyst_event,active,catalyst/event data script: build_theme_event_watch,.github/workflows/daily_full_pipeline.yml;.github/workflows/warrant_flow.yml;.github/workflows/weekly_theme_review.yml,
scripts/build_volume_attack_theme_layer.py,python,daily_production,active,daily production script: build_volume_attack_theme_layer,.github/workflows/daily_full_pipeline.yml;.github/workflows/diagnose_stock_selection.yml;.github/workflows/research_backtest_pipeline.yml;.github/workflows/warrant_flow.yml,
scripts/build_volume_breakout_confirmed_operation_backtest.py,python,research_backtest,active,research/backtest script: build_volume_breakout_confirmed_operation_backtest,.github/workflows/research_backtest_pipeline.yml;.github/workflows/signal_performance_tracker.yml,
scripts/build_volume_breakout_operation_pdf_preview.py,python,research_backtest,active,research/backtest script: build_volume_breakout_operation_pdf_preview,.github/workflows/research_backtest_pipeline.yml;.github/workflows/signal_performance_tracker.yml,
scripts/build_volume_breakout_pattern_classification.py,python,research_backtest,active,research/backtest script: build_volume_breakout_pattern_classification,.github/workflows/research_backtest_pipeline.yml;.github/workflows/signal_performance_tracker.yml,
scripts/build_volume_breakout_tdcc_confluence_backtest.py,python,research_backtest,active,research/backtest script: build_volume_breakout_tdcc_confluence_backtest,.github/workflows/research_backtest_pipeline.yml;.github/workflows/signal_performance_tracker.yml,
scripts/build_volume_breakout_watch.py,python,daily_production,active,daily production script: build_volume_breakout_watch,.github/workflows/daily_full_pipeline.yml;.github/workflows/diagnose_stock_selection.yml;.github/workflows/research_backtest_pipeline.yml,
scripts/build_warrant_market_report.py,python,warrant,active,warrant data/report script: build_warrant_market_report,.github/workflows/daily_full_pipeline.yml;.github/workflows/warrant_flow.yml,
scripts/build_weekly_surge_multifactor_candidates.py,python,research_backtest,active,research/backtest script: build_weekly_surge_multifactor_candidates,.github/workflows/research_backtest_pipeline.yml;.github/workflows/signal_performance_tracker.yml,
scripts/build_weekly_surge_strict_parameter_candidates.py,python,research_backtest,active,research/backtest script: build_weekly_surge_strict_parameter_candidates,.github/workflows/research_backtest_pipeline.yml;.github/workflows/signal_performance_tracker.yml,
scripts/check_raw_data_health.py,python,repo_infrastructure,active,repository infrastructure script: check_raw_data_health,,
scripts/detect_individual_stock_pr_scope.py,python,repo_infrastructure,active,Pull request changed-path detector for individual-stock contract validation,.github/workflows/individual_stock_pr_validation.yml,
scripts/fetch_futures_options_indicators.py,python,market_risk,active,market risk/context script: fetch_futures_options_indicators,.github/workflows/daily_full_pipeline.yml;.github/workflows/historical_structured_source_replay.yml;.github/workflows/research_backtest_pipeline.yml,
scripts/fetch_market_abnormal_status.py,python,market_risk,active,market risk/context script: fetch_market_abnormal_status,.github/workflows/daily_full_pipeline.yml;.github/workflows/research_backtest_pipeline.yml,
scripts/fetch_official_warrant_daily.py,python,warrant,active,warrant data/report script: fetch_official_warrant_daily,.github/workflows/daily_full_pipeline.yml;.github/workflows/historical_structured_source_replay.yml;.github/workflows/warrant_flow.yml,
scripts/generate_chatgpt_side_daily_reports.py,python,daily_production,active,ChatGPT-side daily PDF renderer called only by entrypoint,.github/workflows/daily_full_pipeline.yml;.github/workflows/diagnose_stock_selection.yml;.github/workflows/research_backtest_pipeline.yml,
scripts/git_worktree_safety.py,python,repo_infrastructure,active,guarded Git ref impact audit and serialized sparse registered full temp or F-local replay worktree materialization,.github/workflows/daily_model_maintenance_pr_validation.yml,
scripts/generate_daily_signal_performance_report.py,python,research_backtest,active,daily signal performance research PDF reports,.github/workflows/research_backtest_pipeline.yml;.github/workflows/signal_performance_tracker.yml,
scripts/generate_individual_stock_report.py,python,individual_stock,active,individual-stock PDF report renderer,.github/workflows/individual_stock_data_refresh.yml;.github/workflows/individual_stock_report.yml,
scripts/import_stock_theme_manual_overrides.py,python,daily_production,active,daily production script: import_stock_theme_manual_overrides,.github/workflows/daily_full_pipeline.yml;.github/workflows/diagnose_stock_selection.yml;.github/workflows/research_backtest_pipeline.yml,
scripts/research_explosive_volume_up.py,python,research_backtest,active,research/backtest script: research_explosive_volume_up,.github/workflows/research_backtest_pipeline.yml;.github/workflows/signal_performance_tracker.yml,
scripts/research_weekly_20pct_surge_volume.py,python,research_backtest,active,research/backtest script: research_weekly_20pct_surge_volume,.github/workflows/research_backtest_pipeline.yml;.github/workflows/signal_performance_tracker.yml,
scripts/research_weekly_surge_multifactor_grid.py,python,research_backtest,active,research/backtest script: research_weekly_surge_multifactor_grid,.github/workflows/research_backtest_pipeline.yml;.github/workflows/signal_performance_tracker.yml,
scripts/research_weekly_surge_strict_parameter_search.py,python,research_backtest,active,research/backtest script: research_weekly_surge_strict_parameter_search,.github/workflows/research_backtest_pipeline.yml;.github/workflows/signal_performance_tracker.yml,
scripts/research_weekly_surge_technical_grid.py,python,research_backtest,active,research/backtest script: research_weekly_surge_technical_grid,.github/workflows/research_backtest_pipeline.yml;.github/workflows/signal_performance_tracker.yml,
scripts/research_weekly_surge_theme_segments.py,python,research_backtest,active,research/backtest script: research_weekly_surge_theme_segments,.github/workflows/research_backtest_pipeline.yml;.github/workflows/signal_performance_tracker.yml,
scripts/resolve_daily_report_source_state.py,python,repo_infrastructure,active,repository infrastructure script: resolve_daily_report_source_state,,
scripts/run_chatgpt_daily_report_entrypoint.py,python,daily_production,active,official ChatGPT-side daily PDF entrypoint with freshness gate,.github/workflows/daily_full_pipeline.yml;.github/workflows/diagnose_stock_selection.yml;.github/workflows/research_backtest_pipeline.yml,
scripts/stage_daily_latest_mirrors.py,python,repo_infrastructure,active,daily pipeline complete mirror registry stager,.github/workflows/daily_full_pipeline.yml,
scripts/sync_catalyst_pages_artifacts.py,python,catalyst_event,active,catalyst/event data script: sync_catalyst_pages_artifacts,.github/workflows/daily_full_pipeline.yml;.github/workflows/weekly_theme_review.yml,
scripts/tdcc_stock_history_utils.py,python,tdcc_weekly,active,TDCC weekly/holder-flow script: tdcc_stock_history_utils,.github/workflows/tdcc_history_backfill.yml;.github/workflows/tdcc_weekly.yml;.github/workflows/test_tdcc_trend.yml,
scripts/tracking_utils.py,python,repo_infrastructure,active,repository infrastructure script: tracking_utils,,
scripts/trace_runtime_file_lineage.py,python,repo_infrastructure,active,runtime file lineage tracing helper for production source audits,,
scripts/update_catalyst_performance.py,python,catalyst_event,active,catalyst performance updater shared by catalyst and research workflows,.github/workflows/research_backtest_pipeline.yml;.github/workflows/weekly_theme_review.yml,
scripts/update_daily_candidate_signal_log.py,python,daily_production,active,daily production script: update_daily_candidate_signal_log,.github/workflows/daily_full_pipeline.yml;.github/workflows/diagnose_stock_selection.yml;.github/workflows/research_backtest_pipeline.yml,
scripts/update_daily_candidate_signal_performance.py,python,research_backtest,active,research/backtest script: update_daily_candidate_signal_performance,.github/workflows/research_backtest_pipeline.yml;.github/workflows/signal_performance_tracker.yml,
scripts/update_daily_published_model_snapshots.py,python,daily_production,active,daily production model snapshot history updater,.github/workflows/daily_full_pipeline.yml;.github/workflows/diagnose_stock_selection.yml;.github/workflows/research_backtest_pipeline.yml;.github/workflows/warrant_flow.yml;.github/workflows/weekly_theme_review.yml,
scripts/update_daily_theme_status_history.py,python,daily_production,active,daily production script: update_daily_theme_status_history,.github/workflows/daily_full_pipeline.yml;.github/workflows/diagnose_stock_selection.yml;.github/workflows/research_backtest_pipeline.yml,
scripts/update_event_calendar_data.py,python,catalyst_event,active,catalyst/event data script: update_event_calendar_data,.github/workflows/daily_full_pipeline.yml;.github/workflows/event_catalyst_update.yml;.github/workflows/weekly_theme_review.yml,
scripts/update_event_catalyst_data.py,python,catalyst_event,active,catalyst/event data script: update_event_catalyst_data,.github/workflows/daily_full_pipeline.yml;.github/workflows/event_catalyst_update.yml;.github/workflows/weekly_theme_review.yml,
scripts/build_event_catalyst_historical_recovery_manifest.py,python,catalyst_event,active,fail-closed event/catalyst historical recovery evidence builder,.github/workflows/event_catalyst_update.yml,
scripts/validate_event_catalyst_historical_recovery_manifest.py,python,catalyst_event,active,event/catalyst historical recovery evidence validator,.github/workflows/event_catalyst_update.yml,
scripts/validate_event_catalyst_source_refresh_scope.py,python,catalyst_event,active,event/catalyst source-only staged-path gate,.github/workflows/event_catalyst_update.yml,
scripts/update_market_index_history.py,python,market_risk,active,market risk/context script: update_market_index_history,.github/workflows/daily_full_pipeline.yml;.github/workflows/historical_structured_source_replay.yml;.github/workflows/research_backtest_pipeline.yml,
scripts/update_tdcc_normalized_signal_performance.py,python,tdcc_weekly,active,TDCC normalized signal performance updater for TDCC history and research views,.github/workflows/research_backtest_pipeline.yml;.github/workflows/tdcc_history_backfill.yml;.github/workflows/tdcc_weekly.yml;.github/workflows/repair_tdcc_monthly_history_gaps.yml,
scripts/validate_approved_operation_patterns.py,python,research_backtest,active,research/backtest script: validate_approved_operation_patterns,.github/workflows/research_backtest_pipeline.yml;.github/workflows/signal_performance_tracker.yml,
scripts/validate_apps_script_workflow_triggers.py,python,repo_infrastructure,active,Apps Script workflow trigger gate,.github/workflows/daily_full_pipeline.yml;.github/workflows/historical_structured_source_replay.yml;.github/workflows/individual_stock_data_refresh.yml;.github/workflows/repair_recent_daily_price_gaps.yml;.github/workflows/repair_tdcc_monthly_history_gaps.yml;.github/workflows/research_backtest_pipeline.yml;.github/workflows/tdcc_weekly_pr_validation.yml,
scripts/validate_candidate_repeat_appearance.py,python,repo_infrastructure,active,validator: validate_candidate_repeat_appearance,,
scripts/validate_catalyst_layer.py,python,catalyst_event,active,catalyst/event data script: validate_catalyst_layer,.github/workflows/daily_full_pipeline.yml;.github/workflows/event_catalyst_update.yml;.github/workflows/weekly_theme_review.yml,
scripts/validate_event_catalyst_overlay_contract.py,python,catalyst_event,active,event/catalyst overlay contract validator,.github/workflows/event_catalyst_update.yml,
scripts/validate_model_surface_registry.py,python,repo_infrastructure,active,validator: validate_model_surface_registry,,
scripts/validate_chatgpt_daily_report_new_conversation_replay.py,python,repo_infrastructure,active,validator: replay official ChatGPT-side daily PDF entrypoint like a new conversation,.github/workflows/daily_full_pipeline.yml;.github/workflows/daily_pdf_replay_pr_validation.yml,
scripts/validate_chatgpt_side_pdf_contract.py,python,repo_infrastructure,active,validator: validate_chatgpt_side_pdf_contract,,
scripts/validate_chatgpt_side_pdf_layout_independence.py,python,repo_infrastructure,active,validator: validate_chatgpt_side_pdf_layout_independence,.github/workflows/daily_full_pipeline.yml;.github/workflows/daily_model_maintenance_pr_validation.yml,
scripts/validate_daily_candidate_model_layer.py,python,repo_infrastructure,active,validator: validate_daily_candidate_model_layer,,
scripts/validate_daily_candidate_regression_cases.py,python,repo_infrastructure,active,validator: validate_daily_candidate_regression_cases,,
scripts/validate_daily_pdf_contract_consumers.py,python,daily_production,active,Daily PDF model/catalyst contract consumer validator,.github/workflows/daily_full_pipeline.yml;.github/workflows/daily_model_maintenance_pr_validation.yml;.github/workflows/daily_pdf_replay_pr_validation.yml,
