validator_path,validator_role,production_source_file,imported_production_symbols,independence_claim,allowed_evidence_use,notes
scripts/validate_revenue_unreacted_range_source_snapshot_projection_v1_v2_diff.py,independent_contract_artifact_binding_validator,scripts/revenue_unreacted_range_source_snapshot_projection_v1_v2_diff.py,,True,independent_research_projection_version_diff_evidence_only_not_promotion_proof,Independently validates immutable v1 and v2 bytes SHA-256 row identities lineage bindings and complete semantic-drift classifications without importing the diff producer; the evidence remains research-only and cannot authorize supersede or promotion.
scripts/validate_revenue_unreacted_range_forward_holdout.py,input_bound_in_process_independent_validator,scripts/build_revenue_unreacted_range_research.py,,True,independent_input_bound_research_validation_only_not_promotion_proof,Input-bound in-process independent replay of the frozen rule contract bridge exclusion D2 entry D30 maturity right censor same-stock non-overlap anomaly retention lineage and formal-use false flags; it imports no production business symbols and remains research-only evidence that cannot prove promotion readiness.
scripts/validate_revenue_unreacted_range_forward_holdout_v2.py,input_bound_in_process_independent_validator,scripts/revenue_unreacted_range_forward_holdout_v2.py,,True,independent_input_bound_research_validation_only_not_promotion_proof,Input-bound independent replay of the unchanged PR462 rule under the exact v2 source manifest 20260831 start pre-start empty capture bridge exclusion D2 entry D30 maturity right censor same-stock non-overlap anomaly retention and formal-use false flags. It imports only the independent v1 validator engine and no producer business symbols and cannot prove promotion readiness.
scripts/validate_tdcc_stealth_accumulation_historical_replay.py,independent_research_replay_validator,scripts/build_daily_candidate_model_layer.py,,True,independent_research_reconstruction_validation_only_not_promotion_proof,Independently replays the frozen current selector over commit-bound candidate snapshots and verifies D5 D10 D20 outputs without importing production or producer business functions; event-time PIT and price adjustment remain unproven.
scripts/validate_tdcc_stealth_accumulation_field_contract_replay.py,independent_research_replay_validator,scripts/build_daily_candidate_model_layer.py,,True,independent_research_reconstruction_validation_only_not_promotion_proof,Independently recomputes v2 selected membership from commit-bound source rows without importing either replay producer; it validates only the model-owned enum fallback and cannot prove event-time PIT price adjustment production semantics or promotion readiness.
scripts/validate_tdcc_stealth_accumulation_price_pit.py,independent_source_lineage_validator,scripts/audit_tdcc_stealth_accumulation_price_pit.py,,True,independent_input_bound_audit_validation_only_not_promotion_proof,Independently verifies bounded observation identities immutable evidence references raw-price arithmetic PIT comparisons and fail-closed dispositions without importing producer business functions.
scripts/validate_tdcc_stealth_accumulation_operation_replay.py,independent_research_replay_validator,scripts/build_tdcc_stealth_accumulation_operation_replay.py,,True,independent_research_operation_replay_validation_only_not_formal_or_promotion_proof,Independently validates fixed-source signal lineage same-date field conflicts strict-before PIT cutoff independent horizon locks exact calendar dates costs missing evidence anomaly retention and false formal flags without importing producer or production business functions.
scripts/validate_tdcc_stealth_accumulation_receipted_marketwide_replay.py,independent_research_replay_validator,scripts/build_tdcc_stealth_accumulation_receipted_marketwide_replay.py,,True,independent_receipted_marketwide_research_replay_validation_only_not_formal_or_promotion_proof,Independently checks receipt-bound input trees feature observations fixed research semantics output hashes exact nine-file scope costs unresolved anomalies strict-ledger blocks and False formal flags without importing producer or production business functions.
scripts/validate_tdcc_stealth_accumulation_corporate_action_ledger.py,independent_research_replay_validator,scripts/build_tdcc_stealth_accumulation_corporate_action_ledger.py,,True,independent_corporate_action_research_accounting_validation_only_not_formal_or_promotion_proof,Independently validates fixed original rows official source hashes share quantities pending rights cash receivables exact five artifacts and False formal flags without importing producer or production business functions.
scripts/validate_tdcc_stealth_accumulation_current_version_annual_replay.py,independent_research_replay_validator,scripts/build_tdcc_stealth_accumulation_current_version_annual_replay.py,,True,independent_current_version_annual_research_replay_validation_only_not_strict_PIT_formal_or_promotion_proof,Validates the exact nine published artifacts separately from full private-input validation without importing producer or production business functions. Missing original-publication proof remains explicit; source-independent verification requires the private input root.
scripts/validate_tdcc_stealth_accumulation_current_version_horizon_extension.py,independent_research_replay_validator,scripts/build_tdcc_stealth_accumulation_current_version_annual_replay.py;scripts/tdcc_stealth_accumulation_current_version_horizon_extension.py,,True,independent_horizon_replay_validation_from_immutable_v1_signals_not_selector_revalidation_strict_PIT_or_promotion_evidence,Independent published-artifact and full-source horizon validation without importing producer business functions. Full mode verifies the 65 private input hashes and frozen price/calendar lineage; it does not claim to rerun the v1 selector.
scripts/validate_tdcc_stealth_accumulation_condition_stratification.py,independent_research_replay_validator,scripts/build_tdcc_stealth_accumulation_current_version_annual_replay.py;scripts/tdcc_stealth_accumulation_condition_stratification.py,,True,independent_condition_stratification_validation_not_selector_revalidation_strict_PIT_blind_holdout_or_promotion_evidence,Independent published and full-source condition-stratification validation without importing producer business functions. Verify immutable signals and feature inputs plus dates costs locks training-only threshold and time-split summaries; full mode verifies external source hashes and frozen price/calendar lineage. No claim to revalidate the original selector.
scripts/validate_revenue_unreacted_range_source_first_source_binding.py,independent_contract_artifact_binding_validator,scripts/build_revenue_unreacted_range_research.py;scripts/revenue_unreacted_range_source_first_condition_audit.py,,True,independent_frozen_source_and_artifact_binding_only_not_backtest_or_promotion_proof,Independently verifies exact Git source identities full monthly canonical lineage and six unchanged research artifacts without importing producer business logic. Delegates only source normalization and hashing to the existing independent source projection validator; current-source divergence remains a separate diagnostic and this does not prove strict PIT or promotion.
scripts/validate_revenue_unreacted_range_projection_v3.py,independent_research_replay_validator,scripts/build_revenue_unreacted_range_projection_v3.py;scripts/revenue_unreacted_range_source_first_condition_audit.py,,True,independent_fixed_source_candidate_replay_and_difference_validation_not_strict_PIT_formal_operation_or_promotion_proof,Independently replays the fixed v3 input bytes and verifies six exact artifact hashes complete price and episode differences primary and sensitivity metrics and false formal flags. Imports only model-owned pure Git IO and the existing independent source projection algorithms; never producer business functions. Preserved v2 source is explicit and candidate adoption remains unapproved.
scripts/validate_tdcc_stealth_accumulation_medium_term_trend_research.py,independent_research_replay_validator,scripts/build_tdcc_stealth_accumulation_medium_term_trend_research.py,,True,independent_medium_term_trend_validation_not_strict_PIT_unseen_OOS_formal_operation_or_promotion_evidence,Independent published and full-source validation without importing this producer business functions. Check exact eleven derived artifacts and preserved prior evidence; full mode independently reconstructs raw source trends prices and ledgers. Published mode makes no private-source revalidation claim.
scripts/validate_revenue_unreacted_range_outcome_unit_reconciliation.py,independent_research_replay_validator,scripts/build_revenue_unreacted_range_outcome_unit_reconciliation.py,,True,independent_research_only_frozen_outcome_unit_reconciliation_not_selector_PIT_or_promotion,Six exact new versioned outputs; immutable source research pin 001b82f856c4ca1a863d64998890fb1fdfba8030. Frozen event population and dates; partial official action receipts retrieved at current time are not original publication PIT. Unknown cashflows fractions and coverage remain unresolved. No original artifact or selector replay.
scripts/validate_tdcc_stealth_accumulation_medium_term_corporate_action_reconciliation.py,independent_research_replay_validator,scripts/build_tdcc_stealth_accumulation_medium_term_corporate_action_reconciliation.py,,True,independent_research_only_frozen_outcome_unit_reconciliation_not_selector_PIT_or_promotion,Six exact new versioned outputs; immutable source research pin 001b82f856c4ca1a863d64998890fb1fdfba8030. Frozen event population and dates; partial official action receipts retrieved at current time are not original publication PIT. Unknown cashflows fractions and coverage remain unresolved. No original artifact or selector replay.
