archive_id,related_record_ids,period,payload_role,source_id,official_url,request_contract,captured_at,official_public_at,availability_precision,external_archive_root_id,external_archive_relative_path,raw_archive_ref,raw_payload_sha256,raw_byte_count,media_type,archive_status,pit_eligible,formal_model_use_allowed,notes
t56_attachment_2816_2013Q1,2013Q1_2816_ir_revision,2013Q1,financial_report_correction_attachment_selected_pages,mops_financial_report_correction,https://mopsov.twse.com.tw/nas/t56sa23/201301/t56sa23_2816_201301_3_1.pdf,GET official t56 correction attachment,2026-07-17T03:35:41+08:00,2013-05-16,correction_attachment_link_date_only_not_filed_at,codex_data_archives_taiwan_stock_financial_statement_historical_pit_source_audit_v1,202607170335_t56_attachment_2816_2013Q1_899a2483f1d50277.pdf,sha256://899a2483f1d50277e5f4967aa45bd971b7cf373de57d672b62f9a6af467348be,899a2483f1d50277e5f4967aa45bd971b7cf373de57d672b62f9a6af467348be,300050,application/pdf,external_content_addressed_archive_verified,False,False,Eleven nonconsecutive selected report pages are retained; PDF creation metadata is not official public availability.
t56_attachment_4552_2025Q1,2025Q1_4552_cr_revision_leakage,2025Q1,financial_report_correction_attachment_selected_pages,mops_financial_report_correction,https://mopsov.twse.com.tw/nas/t56sa23/202501/t56sa23_4552_202501_4_2_I1.pdf,GET official t56 correction attachment,2026-07-17T03:35:40+08:00,2025-05-16,correction_attachment_link_date_only_not_filed_at,codex_data_archives_taiwan_stock_financial_statement_historical_pit_source_audit_v1,202607170335_t56_attachment_4552_2025Q1_24382f38ae0fb50a.pdf,sha256://24382f38ae0fb50a6894d82495b519b69ce0174c6e5ce783f83223a70b89e325,24382f38ae0fb50a6894d82495b519b69ce0174c6e5ce783f83223a70b89e325,734170,application/pdf,external_content_addressed_archive_verified,False,False,Two selected corrected report pages are retained; scanner creation metadata is not official public availability.
twse_openapi_swagger,twse_openapi_financial_statement_current_snapshot;2026Q1_twse_openapi_L_ci_snapshot,current_schema_contract,api_schema_contract_current,twse_openapi_financial_statement_current_snapshot,https://openapi.twse.com.tw/v1/swagger.json,GET /v1/swagger.json,2026-07-17T03:42:48+08:00,,capture_time_only_not_company_availability,codex_data_archives_taiwan_stock_financial_statement_historical_pit_source_audit_v1,20260717034248_twse_openapi_swagger_2c2cecccb7a220ac.json,sha256://2c2cecccb7a220ac9e263228a7659aa49b1ada5aea397650e601ad3dfcc48043,2c2cecccb7a220ac9e263228a7659aa49b1ada5aea397650e601ad3dfcc48043,306043,application/json,external_content_addressed_archive_verified,False,False,Schema lists current L and X industry endpoints without historical company filed_at or revision selection.
twse_openapi_L_ci_2026Q1,2026Q1_twse_openapi_L_ci_snapshot,2026Q1,current_financial_statement_snapshot,twse_openapi_financial_statement_current_snapshot,https://openapi.twse.com.tw/v1/opendata/t187ap06_L_ci,GET /v1/opendata/t187ap06_L_ci,2026-07-17T03:42:48+08:00,,dataset_output_date_only_not_company_filed_at,codex_data_archives_taiwan_stock_financial_statement_historical_pit_source_audit_v1,20260717034248_twse_openapi_t187ap06_L_ci_31c1e47fd73e5c35.json,sha256://31c1e47fd73e5c3597638d0f596e900bee09b41bc96c54c6eea6a2b95f0eef52,31c1e47fd73e5c3597638d0f596e900bee09b41bc96c54c6eea6a2b95f0eef52,1404295,application/json,external_content_addressed_archive_verified,False,False,The 1043 rows all report 出表日期 1150716 year 115 season 1 and expose no company filed_at revision id or version selector.
t05_api_2348_2026Q1_may,2026Q1_2348_cr_revision_1,2026Q1,material_information_month_list,mops_historical_material_information,https://mops.twse.com.tw/mops/api/t05st01,POST JSON companyId=2348;year=115;month=5;firstDay=1;lastDay=31,2026-07-17T03:49:49+08:00,2026-05-25T15:59:11+08:00,announcement_list_contains_exact_event_time,codex_data_archives_taiwan_stock_financial_statement_historical_pit_source_audit_v1,20260717034949_t05_api_2348_2026Q1_may_0dbb39dd202f85c5.json,sha256://0dbb39dd202f85c5ac07297e74b4abcdd6f0898870538622e77afe5f7c50b94e,0dbb39dd202f85c5ac07297e74b4abcdd6f0898870538622e77afe5f7c50b94e,3113,application/json,external_content_addressed_archive_verified,False,False,Response query datetime makes each acquisition hash observational while the event time is an official announcement field.
t05_api_2348_2026Q1_june,2026Q1_2348_cr_revision_2,2026Q1,material_information_month_list,mops_historical_material_information,https://mops.twse.com.tw/mops/api/t05st01,POST JSON companyId=2348;year=115;month=6;firstDay=1;lastDay=30,2026-07-17T03:49:49+08:00,2026-06-03T15:38:46+08:00,announcement_list_contains_exact_event_time,codex_data_archives_taiwan_stock_financial_statement_historical_pit_source_audit_v1,20260717034949_t05_api_2348_2026Q1_june_908fd10b49709f98.json,sha256://908fd10b49709f985bbd287de9ef605a38a2fb93b8243183d653c0f415ca150f,908fd10b49709f985bbd287de9ef605a38a2fb93b8243183d653c0f415ca150f,1889,application/json,external_content_addressed_archive_verified,False,False,Response query datetime makes each acquisition hash observational while the event time is an official announcement field.
t05_api_2348_2026Q1_revision1,2026Q1_2348_cr_revision_1,2026Q1,material_information_revision_detail,mops_historical_material_information,https://mops.twse.com.tw/mops/api/t05st01_detail,POST JSON enterDate=1150525;serialNumber=1;companyId=2348;marketKind=sii,2026-07-17T03:49:50+08:00,2026-05-25T15:59:11+08:00,announcement_timestamp_for_mentioned_fields_only,codex_data_archives_taiwan_stock_financial_statement_historical_pit_source_audit_v1,20260717034950_t05_api_2348_2026Q1_revision1_1df555073fa7fcd0.json,sha256://1df555073fa7fcd00322e4c7c9d727708a7785346d0554b3b4b7b3f289db0f02,1df555073fa7fcd00322e4c7c9d727708a7785346d0554b3b4b7b3f289db0f02,3369,application/json,external_content_addressed_archive_verified,False,False,Announcement states financial-report and iXBRL correction followed by reupload but does not expose the complete revised payload.
t05_api_2348_2026Q1_revision2,2026Q1_2348_cr_revision_2,2026Q1,material_information_revision_detail,mops_historical_material_information,https://mops.twse.com.tw/mops/api/t05st01_detail,POST JSON enterDate=1150603;serialNumber=2;companyId=2348;marketKind=sii,2026-07-17T03:49:51+08:00,2026-06-03T15:38:46+08:00,announcement_timestamp_for_mentioned_fields_only,codex_data_archives_taiwan_stock_financial_statement_historical_pit_source_audit_v1,20260717034951_t05_api_2348_2026Q1_revision2_c0890a8ce48fe442.json,sha256://c0890a8ce48fe442c7b9a5d730e922512e5fc7443c318eb372a6ea57536ddcd7,c0890a8ce48fe442c7b9a5d730e922512e5fc7443c318eb372a6ea57536ddcd7,10809,application/json,external_content_addressed_archive_verified,False,False,Second announcement states financial-report and iXBRL correction followed by reupload but does not expose the complete revised payload.
t163_api_2348_2026Q1_current,2026Q1_2348_cr_current_snapshot_after_two_revisions,2026Q1,current_financial_report_announcement_response,mops_financial_report_announcement,https://mops.twse.com.tw/mops/api/t163sb01,POST JSON companyId=2348;dataType=2;subsidiaryCompanyId=<empty>;year=115;season=1,2026-07-17T03:49:51+08:00,,current_response_capture_only,codex_data_archives_taiwan_stock_financial_statement_historical_pit_source_audit_v1,20260717034951_t163_api_2348_2026Q1_dacb680b6ef561f7.json,sha256://dacb680b6ef561f7e54d77a526d29d6033935d0573864ad5bf1961e5c9c13fb7,dacb680b6ef561f7e54d77a526d29d6033935d0573864ad5bf1961e5c9c13fb7,4733,application/json,external_content_addressed_archive_verified,False,False,Response proves listed market and consolidated current report scope but its query datetime is not filed_at or a version id.
t57_2348_2026Q1,2026Q1_2348_cr_current_snapshot_after_two_revisions,2026Q1,visible_pdf_index_response,mops_financial_report_document_index,https://doc.twse.com.tw/server-java/t57sb01,GET step=1;colorchg=1;seamon=;mtype=A;co_id=2348;year=115,2026-07-17T03:49:52+08:00,2026-05-15T16:02:11+08:00,visible_document_upload_timestamp_only,codex_data_archives_taiwan_stock_financial_statement_historical_pit_source_audit_v1,20260717034952_t57_2348_2026Q1_3104c04f8010c230.html,sha256://3104c04f8010c23025ada1a1a7ec52aa7bf6ef3f2e78d3d4eb6422eb1f0cb270,3104c04f8010c23025ada1a1a7ec52aa7bf6ef3f2e78d3d4eb6422eb1f0cb270,3850,text/html,external_content_addressed_archive_verified,False,False,After two corrections the interface still shows one logical filename and the original PDF upload timestamp.
t56_2348_2026Q1_skey1,2026Q1_2348_cr_revision_1,2026Q1,financial_report_correction_detail,mops_financial_report_correction,https://mopsov.twse.com.tw/mops/web/t56sb31_q1?step=2&colorchg=1&TYPEK=sii&kind=&CID=2348&YEAR_SEASON=202601&RID=4&DTYPE=I1&SKEY=1&firstin=1,GET official t56 detail SKEY=1,2026-07-17T03:49:52+08:00,2026-05-25,correction_date_only,codex_data_archives_taiwan_stock_financial_statement_historical_pit_source_audit_v1,20260717034952_t56_2348_2026Q1_skey1_b7409343461930b0.html,sha256://b7409343461930b00d4ce1084e3eb398c66ea25fcd74cce2b079c9c96b0b0d47,b7409343461930b00d4ce1084e3eb398c66ea25fcd74cce2b079c9c96b0b0d47,61729,text/html,external_content_addressed_archive_verified,False,False,SKEY is a correction sequence locator but no official common key binds it to t05 and no full before payload is supplied.
t56_2348_2026Q1_skey2,2026Q1_2348_cr_revision_2,2026Q1,financial_report_correction_detail,mops_financial_report_correction,https://mopsov.twse.com.tw/mops/web/t56sb31_q1?step=2&colorchg=1&TYPEK=sii&kind=&CID=2348&YEAR_SEASON=202601&RID=4&DTYPE=I1&SKEY=2&firstin=1,GET official t56 detail SKEY=2,2026-07-17T03:49:53+08:00,2026-06-03,correction_date_only,codex_data_archives_taiwan_stock_financial_statement_historical_pit_source_audit_v1,20260717034953_t56_2348_2026Q1_skey2_8bca6f829d136a54.html,sha256://8bca6f829d136a5455697c47a85449ff8cff2db527c1cd86b4dfce708029974c,8bca6f829d136a5455697c47a85449ff8cff2db527c1cd86b4dfce708029974c,64882,text/html,external_content_addressed_archive_verified,False,False,SKEY is a correction sequence locator but no official common key binds it to t05 and no complete before or after payload pair is supplied.
t56_attachment_2348_2026Q1_skey1,2026Q1_2348_cr_revision_1,2026Q1,financial_report_correction_attachment_selected_pages,mops_financial_report_correction,https://mopsov.twse.com.tw/nas/t56sa23/202601/t56sa23_2348_202601_4_1_I1.pdf,GET official t56 SKEY1 attachment,2026-07-17T03:49:53+08:00,2026-05-25,correction_attachment_link_date_only_not_filed_at,codex_data_archives_taiwan_stock_financial_statement_historical_pit_source_audit_v1,20260717034953_t56_attachment_2348_2026Q1_skey1_a1ab34ca2649193e.pdf,sha256://a1ab34ca2649193ebde5c717657fd0d471ef299525fe089a283ca9c9737822ca,a1ab34ca2649193ebde5c717657fd0d471ef299525fe089a283ca9c9737822ca,537872,application/pdf,external_content_addressed_archive_verified,False,False,One replacement page numbered 42 is retained and does not form a full report version.
t56_attachment_2348_2026Q1_skey2,2026Q1_2348_cr_revision_2,2026Q1,financial_report_correction_attachment_selected_pages,mops_financial_report_correction,https://mopsov.twse.com.tw/nas/t56sa23/202601/t56sa23_2348_202601_4_2_I1.pdf,GET official t56 SKEY2 attachment,2026-07-17T03:49:54+08:00,2026-06-03,correction_attachment_link_date_only_not_filed_at,codex_data_archives_taiwan_stock_financial_statement_historical_pit_source_audit_v1,20260717034954_t56_attachment_2348_2026Q1_skey2_0ffcb2b64dd452ae.pdf,sha256://0ffcb2b64dd452aea6d3a20119a2e03a45ad76fbb38e9ba1fc1de9fd5548067e,0ffcb2b64dd452aea6d3a20119a2e03a45ad76fbb38e9ba1fc1de9fd5548067e,79988,application/pdf,external_content_addressed_archive_verified,False,False,Two replacement pages numbered 42 and 45 are retained and do not form a full report version.
xbrl_2348_2026Q1_current,2026Q1_2348_cr_current_snapshot_after_two_revisions,2026Q1,current_visible_company_xbrl,mops_xbrl_single_company,https://mopsov.twse.com.tw/server-java/FileDownLoad,GET functionName=t164sb01;step=9;co_id=2348;year=2026;season=1;report_id=C,2026-07-17T03:49:54+08:00,,current_payload_capture_only,codex_data_archives_taiwan_stock_financial_statement_historical_pit_source_audit_v1,20260717034954_xbrl_2348_2026Q1_current_b2e2852b47d751bf.html,sha256://b2e2852b47d751bfe352925c75882d016124ed6a5bff6fd4d6964b4741efd534,b2e2852b47d751bfe352925c75882d016124ed6a5bff6fd4d6964b4741efd534,686961,text/html,external_content_addressed_archive_verified,False,False,Current ci-cr payload uses schema tifrs-ci-cr-2025-06-30.xsd and has no official filed_at ETag or revision id.
